방문지역,연령대,관광지,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
부산,20대,부산박물관,13.74,0,3.82,1.53,0.76,1.53,9.92,0,9.16,1.53,0.76,0.76,3.05,1.53,8.4,42.75,0.76
부산,20대,부산시민공원,11.98,0,3.27,1.24,1.24,2.33,9.64,0.62,7.78,1.56,0.93,1.56,1.24,2.64,6.22,46.97,0.78
부산,20대,부산역,20.9,0,11.06,3.69,1.38,3.73,4.63,0.67,22.42,0.99,2.39,3.3,1.07,1.8,5.84,15.6,0.54
부산,20대,"부전,서면역",15.48,0,5.65,3.26,1.59,1.93,11.36,0,11.16,1.4,1.4,1.4,1.26,2.79,7.18,33.16,1
부산,20대,서면역,12.29,0,5.85,2.32,1.5,1.46,10.05,0.28,10.3,1.17,1.28,1.3,1.23,2.86,6.68,40.21,1.21
부산,20대,센텀시티,20.82,0,6.41,2.11,2.32,2.42,9.57,0.56,12.48,0.65,1.25,1.53,1.39,2.37,6.13,29.04,0.93
부산,20대,송도해수욕장,20.51,0,10.85,2.75,2.21,2.43,5.18,0.27,16.68,0.81,1.51,1.62,1.3,2.27,7.34,23.53,0.76
부산,20대,송정,16.98,0,10.06,2.83,2.47,2.42,10.16,0.43,14.18,0.88,1.46,1.92,1.46,2.14,6.36,25.66,0.6
부산,20대,수영만,28.01,0,7.26,3.68,2.7,3.38,4.41,0.86,22.14,1.48,1.86,2.76,1.48,2.57,4.05,13.04,0.32
부산,20대,안데르센동화마을,4.04,0,3.53,0.76,0.5,0.5,58.54,0.17,5.97,0.59,0.5,1.09,0.59,0.76,14.47,7.74,0.25
부산,20대,영도상권,15.66,0,8.52,2.62,2.62,1.72,8.44,0.33,16.89,1.39,1.97,2.46,1.48,5.16,6.72,22.13,1.89
부산,20대,용두산.중앙역,18.46,0,9.44,3.25,1.88,2.43,6.92,0.46,16.17,0.82,1.92,1.65,1.42,3.16,5.91,25.06,1.05
부산,20대,을숙도,19.44,0,5.56,0,0,2.78,5.56,0,8.33,0,0,0,1.39,0,6.94,50,0
부산,20대,이기대공원,19.68,0,8.71,4.68,1.29,2.9,5.32,0.48,20.65,1.29,2.26,2.9,0.81,3.39,5.48,19.52,0.65
부산,20대,자갈치시장,19.09,0,6.63,3.63,2.66,2.15,5.72,0.51,18.13,1.47,1.87,2.1,1.59,3.51,6.63,23,1.3
부산,20대,태종대,15.34,0,10.13,3.33,2.89,2.17,7.53,0.58,17,1.45,2.53,2.24,2.24,4.99,6.87,19.68,1.01
부산,20대,해양박물관,12.96,0,8.02,2.22,3.58,1.36,9.75,0.62,13.33,1.36,1.85,1.98,1.6,7.04,4.94,28.02,1.36
부산,20대,해운대,24.45,0,8.46,4.21,3.29,2.92,5.24,0.48,21.67,1.18,2.06,2.53,2.03,2.49,5.47,12.77,0.74
부산,20대,흰여울문화마을,46.15,0,0,7.69,0,0,15.38,0,0,0,0,0,0,7.69,0,15.38,7.69
부산,30대,합계(중복제외),24.12,0,7.42,3.36,2.02,2.14,6.33,0.81,18.66,1.02,1.49,2.1,1.31,1.85,5.3,21.44,0.61
부산,30대,감천문화마을,18.75,0,6.25,6.25,0,0,0,0,12.5,0,12.5,0,6.25,6.25,6.25,25,0
부산,30대,"경성대,부경대역인근",19.48,0,4.99,1.61,0.81,1.61,5.8,0.16,12.56,1.45,0.64,1.61,0.97,1.29,7.41,38.65,0.97
부산,30대,광안리,27,0,6.53,3.8,2.46,2.51,4.92,0.9,22.08,1.1,1.74,2.49,1.6,1.64,4.53,16.09,0.62
부산,30대,국제시장.깡통시장,24.92,0,6.05,3.9,1.81,1.64,5.42,0.73,18.42,1.58,1.53,1.86,1.13,1.86,4.12,23.95,1.07
부산,30대,"남포동,광복동",25.14,0,6.23,3.61,2.08,2.04,4.73,0.74,18.4,1.23,1.57,1.97,1.27,1.77,4.84,23.47,0.9
부산,30대,다대포,10.42,0,9.5,1.68,0.65,1.17,5.81,0.49,8.74,1.03,1.03,1.47,0.65,0.9,4.99,50.87,0.6
부산,30대,대연역인근,20.68,0,7.55,3.24,1.35,1.08,5.76,1.17,15.92,1.17,1.08,1.8,0.81,2.7,6.83,28.15,0.72
부산,30대,동부산관광단지,16.91,0,10.14,1.81,0.9,1.61,12.46,0.45,12.52,0.97,1.03,1.94,1.23,1.55,7.94,28.47,0.06
부산,30대,렛츠런파크,7.71,0,2.71,1.43,1.14,0.71,4.86,0.57,7,0,0.71,1.29,0.71,1.14,2.57,67.14,0.29
부산,30대,미포.달맞이,27.66,0,8.05,3.43,1.74,1.84,7.5,0.62,19.84,0.74,1.39,1.39,1.37,1.59,4.84,17.53,0.47
부산,30대,범어사,14.53,0,3.35,2.23,0.84,0.84,10.06,0.84,10.89,1.12,0.28,1.96,0.28,1.4,4.47,46.09,0.84
부산,30대,보수동,21.46,0,5.12,3.66,1.22,1.22,6.34,0.49,18.54,1.71,0.73,1.71,1.22,1.71,6.1,27.8,0.98
부산,30대,부산박물관,16.25,0,2.5,3.75,0,3.75,1.25,0,13.75,1.25,0,1.25,0,5,6.25,43.75,1.25
부산,30대,부산시민공원,15.2,0,3.43,1.47,0.49,2.21,7.35,0.98,10.29,1.23,2.21,1.72,0.74,0.98,5.39,45.59,0.74
부산,30대,부산역,31.54,0,6.32,3.75,0.94,2.36,3.67,0.97,23.52,0.79,1.73,2.65,0.79,1.26,4.06,15.02,0.63
부산,30대,"부전,서면역",21.91,0,5.29,2.5,2.06,1.91,5.88,0.44,14.71,1.62,1.32,1.76,0.74,1.47,5.29,32.35,0.74
부산,30대,서면역,20.61,0,4.82,2.87,1.03,1.51,6.86,0.53,13.73,0.86,1.01,1.56,0.94,1.58,5.43,35.61,1.06
부산,30대,센텀시티,23.39,0,5.39,2.76,1.49,2.39,8.02,0.68,15.33,0.96,1.08,1.61,0.96,1.7,5.02,28.5,0.71
부산,30대,송도해수욕장,20.64,0,8.07,3.43,1.71,1.71,4.57,0.86,18.71,1.29,1.57,1.5,0.93,1.29,4.79,28.64,0.29
부산,30대,송정,18.16,0,8.7,2.66,1.76,2.08,10.88,0.51,16.1,0.87,1.43,1.86,1.3,1.65,5.85,25.88,0.32
부산,30대,수영만,30.03,0,7.01,3.14,2.56,2.71,4.64,1.54,19.43,1.22,1.81,3.3,1.27,2.01,5.22,13.52,0.59
부산,30대,안데르센동화마을,4.2,0,4.85,1.12,0.56,0.56,47.01,0.47,7.37,0.84,0.84,1.03,0.84,1.77,14.65,13.62,0.28
부산,30대,영도상권,22.36,0,4.3,2.95,2.09,1.47,5.04,0.74,18.43,1.6,1.6,2.09,0.86,3.56,5.16,27.03,0.74
부산,30대,용두산.중앙역,25.91,0,5.32,4.05,1.77,1.27,5.99,1.01,16.46,1.1,1.27,1.77,1.52,2.7,3.97,24.98,0.93
부산,30대,을숙도,9.09,0,6.49,2.6,0,3.9,6.49,0,6.49,2.6,0,2.6,0,2.6,6.49,50.65,0
부산,30대,이기대공원,25.61,0,8.54,2.2,1.46,2.93,6.83,0.98,19.27,0.49,1.22,2.2,0.24,1.71,2.68,22.93,0.73
부산,30대,자갈치시장,23.93,0,5.79,6.01,2.84,1.2,3.83,0.87,23.06,1.42,1.42,2.51,1.64,1.42,3.72,19.45,0.87
부산,30대,태종대,17.59,0,9.48,3.45,2.24,2.59,6.38,1.21,17.93,1.38,1.55,0.86,1.55,3.45,7.07,22.24,1.03
부산,30대,해양박물관,15.56,0,6.67,2.22,1.11,1.11,3.33,0,14.44,2.22,0,0.56,0.56,2.78,5.56,43.33,0.56
부산,30대,해운대,30.77,0,8.16,4.14,2.96,2.47,3.91,0.91,22.7,1.1,1.77,2.36,1.6,2.07,4.8,9.74,0.54
부산,30대,흰여울문화마을,33.33,0,6.67,0,6.67,0,13.33,0,20,6.67,0,0,0,6.67,0,6.67,0
부산,40대,합계(중복제외),19.81,0,7.26,3.28,1.82,2.23,7,0.84,20.42,1.08,1.32,1.97,1.27,1.93,5.11,23.83,0.82
부산,40대,감천문화마을,29.41,0,5.88,0,0,5.88,5.88,0,5.88,0,0,0,0,0,5.88,41.18,0
부산,40대,"경성대,부경대역인근",12.86,0,4.43,1.77,1.11,1.33,10.42,0.44,13.3,1.33,0.44,1.55,1.11,1.11,4.88,43.02,0.89
부산,40대,광안리,22.46,0,8.14,4.19,2.19,2.48,3.82,0.71,24.6,1.04,1.66,2.53,1.52,2.16,4.49,17.09,0.9
부산,40대,국제시장.깡통시장,17.46,0,5.27,3.69,2.11,0.9,7,0.38,19.41,1.5,1.05,2.11,1.28,1.96,4.36,30.4,1.13
부산,40대,"남포동,광복동",17.45,0,5.2,3.83,1.37,1.75,6.39,0.91,19.73,1.04,1.04,1.62,0.96,2.08,5.1,30.21,1.32
부산,40대,다대포,9.34,0,10.18,1.6,0.61,0.95,5.56,0.5,9.64,0.84,0.8,0.91,0.84,1.18,5.22,51.18,0.65
부산,40대,대연역인근,16.98,0,4.24,2.57,0.79,0.99,6.81,0.89,19.64,0.89,1.28,2.57,0.99,3.36,4.34,32.28,1.38
부산,40대,동부산관광단지,12.96,0,8.21,2.37,1.36,2.71,14.93,0.47,14.18,0.61,1.22,1.76,0.95,0.88,6.58,30.33,0.47
부산,40대,렛츠런파크,5.15,0,4.16,1.86,1.1,0.88,4.05,0.22,8.65,0.33,1.1,0.66,1.1,0.66,2.52,66.81,0.77
부산,40대,미포.달맞이,24.77,0,9,2.73,1.6,1.98,6.64,0.93,21.36,1.05,1.3,1.22,1.09,1.35,4.84,19.6,0.55
부산,40대,범어사,8.15,0,3.22,1.07,1.29,1.29,8.8,0.86,10.09,0.86,1.29,1.29,0.43,0.21,4.29,55.79,1.07
부산,40대,보수동,14.99,0,4.92,3.04,1.17,0.94,8.43,0.47,18.97,0.94,0.23,2.58,0.7,2.34,4.45,34.66,1.17
부산,40대,부산박물관,17.19,0,4.69,4.69,0,1.56,10.94,0,10.94,3.13,0,7.81,0,3.13,9.38,25,1.56
부산,40대,부산시민공원,13.87,0,4.97,2.36,1.83,0.79,5.5,0.79,13.35,0.52,0.26,0.79,0.79,1.83,4.19,47.38,0.79
부산,40대,부산역,26.6,0,6.37,4.22,1.3,2.62,3.53,1.13,25.36,0.88,1.46,1.79,0.91,1.52,4.3,17.19,0.8
부산,40대,"부전,서면역",20.92,0,5.27,2.04,0.68,1.87,10.71,0.51,14.12,0.68,1.36,2.38,0.85,1.87,4.25,30.95,1.53
부산,40대,서면역,16.6,0,4.26,2.51,1.13,1.46,6.72,0.56,15.43,1.02,0.75,1.27,1.04,1.77,4.49,39.74,1.29
부산,40대,센텀시티,22.33,0,4.31,2.96,1.42,2.67,6.87,0.89,17.49,1.18,0.85,1.67,0.78,1.71,4.99,28.99,0.89
부산,40대,송도해수욕장,15.67,0,7.59,3.44,2.48,2.64,5.12,1.28,19.1,0.88,1.52,1.36,1.36,1.92,5.28,29.58,0.8
부산,40대,송정,16.48,0,9.08,2.76,1.46,2.08,9.74,0.6,18.07,1.01,0.92,1.84,1.11,1.61,5.37,27.3,0.58
부산,40대,수영만,26.06,0,7.59,3.39,2.31,3.39,4.03,1.51,24.47,1.67,1.77,2.8,1.26,1.9,4.64,12.75,0.46
부산,40대,안데르센동화마을,3.79,0,3.79,0.86,1.23,0.53,45.86,0.21,7.54,0.8,0.91,1.23,1.34,2.83,13.31,15.23,0.53
부산,40대,영도상권,14.34,0,5.1,3.04,0.97,0.49,8.02,0.85,19.08,1.46,0.73,1.94,0.73,2.43,5.35,33.54,1.94
부산,40대,용두산.중앙역,20.85,0,4.13,4.32,1.73,1.92,5.67,1.34,17.58,1.92,0.77,1.54,0.86,2.5,3.46,30.16,1.25
부산,40대,을숙도,16.67,0,6.67,6.67,3.33,1.67,1.67,3.33,16.67,0,1.67,3.33,0,0,0,38.33,0
부산,40대,이기대공원,16.98,0,6.17,3.4,1.23,2.78,6.17,1.54,20.06,1.23,0.93,2.78,0.93,3.4,5.56,26.54,0.31
부산,40대,자갈치시장,16.97,0,5.32,4.86,2.15,1.7,5.43,0.57,22.85,0.79,1.92,3.05,1.13,2.38,5.43,23.64,1.81
부산,40대,태종대,15.63,0,8.45,3.51,1.44,2.87,7.18,0.8,16.91,1.44,2.07,2.39,1.75,3.19,6.06,25.68,0.64
부산,40대,해양박물관,12,0,5.5,4.5,1,2,7.5,1.5,21.5,1.5,0,4.5,1.5,0.5,5.5,30.5,0.5
부산,40대,해운대,28.48,0,8.02,4.09,2.71,2.66,3.17,1.09,26.69,1.19,1.71,2.25,1.76,1.98,4.22,9.26,0.71
부산,40대,흰여울문화마을,42.86,0,0,0,0,0,0,0,21.43,0,0,0,0,0,7.14,28.57,0
부산,50대,합계(중복제외),18.52,0,7.02,3.23,1.7,2.21,8.01,0.54,18.48,1.32,1.5,1.83,1.43,2.41,6.01,25.03,0.76
부산,50대,감천문화마을,27.78,0,11.11,0,0,5.56,5.56,0,11.11,5.56,5.56,0,0,5.56,5.56,16.67,0
부산,50대,"경성대,부경대역인근",15.22,0,4.89,1.9,0.82,1.09,8.15,0.82,14.67,1.09,1.36,1.63,0.82,2.17,7.34,36.41,1.63
부산,50대,광안리,22.14,0,7.86,3.81,1.81,2.92,4.54,0.71,22.99,1.29,1.58,2.16,1.25,2.31,5.15,18.78,0.71
부산,50대,국제시장.깡통시장,16.57,0,5.34,3.13,1.84,1.57,7.83,0.83,13.17,2.12,0.83,1.75,1.47,1.84,5.25,35.17,1.29
부산,50대,"남포동,광복동",18.69,0,6.01,3.85,1.43,1.79,5.78,0.46,18.46,1.66,1.49,2.16,1.63,2.39,5.44,27.39,1.36
부산,50대,다대포,10.16,0,8.05,2.6,1.03,1.27,6.05,0.3,10.34,1.03,1.03,1.21,1.09,2,5.51,47.55,0.79
부산,50대,대연역인근,14.67,0,4.67,3.22,1.11,1.56,8.22,0.33,16.33,1,1,1.56,1.11,3.44,5.44,35,1.33
부산,50대,동부산관광단지,13.67,0,8.18,2.21,0.74,0.74,17.43,0.65,13.67,0.82,1.39,0.9,1.15,1.47,7.53,29.13,0.33
부산,50대,렛츠런파크,5.17,0,4.16,1.69,0.79,1.46,3.6,0.22,9.44,0.34,0.67,1.46,1.46,1.24,3.71,64.04,0.56
부산,50대,미포.달맞이,23.8,0,7.93,3.06,2.46,1.5,9.38,0.6,19.35,1.02,1.56,1.56,1.08,1.14,5.05,19.47,1.02
부산,50대,범어사,6.82,0,3.41,1.07,0.21,1.07,8.53,0.21,9.17,1.28,1.49,0.85,1.28,1.28,4.69,58.21,0.43
부산,50대,보수동,15.49,0,5.24,2.28,1.59,1.37,10.48,0.91,10.93,1.14,0.46,1.37,0.46,0.91,5.01,41.69,0.68
부산,50대,부산박물관,10.29,0,5.88,1.47,1.47,0,5.88,0,11.76,2.94,1.47,0,0,0,8.82,50,0
부산,50대,부산시민공원,10.15,0,3.58,0.6,0.6,1.79,6.87,0.3,14.03,1.49,1.19,0.6,0.6,2.99,5.67,47.76,1.79
부산,50대,부산역,23.47,0,7.6,3.72,1.24,4.09,3.5,0.96,22.98,1.12,1.52,1.95,0.93,1.71,5.55,18.88,0.78
부산,50대,"부전,서면역",13.81,0,4.6,2.3,1.59,1.24,10.27,0.53,13.27,1.59,1.77,1.24,0.88,2.83,6.73,36.11,1.24
부산,50대,서면역,14.75,0,5.21,2.06,1.07,1.64,6.18,0.27,12.31,0.94,1.04,1.29,0.74,2.46,5.76,43.25,1.02
부산,50대,센텀시티,22.42,0,5.97,2.39,1.35,1.66,7.37,0.57,15.88,1.45,1.09,1.61,1.3,2.49,5.66,27.82,0.99
부산,50대,송도해수욕장,17.07,0,9.41,4.27,1.09,2.74,5.69,0.44,17.94,1.31,1.31,1.64,2.84,2.41,5.03,25.82,0.98
부산,50대,송정,15.46,0,9.45,2.81,1.34,1.85,10.76,0.42,18.56,0.99,1.95,1.12,0.93,2.14,5.84,25.68,0.7
부산,50대,수영만,27.03,0,7.52,4.05,1.86,2.79,4.51,0.64,22.38,1.9,1.75,3.19,1.68,2.58,5.01,12.64,0.47
부산,50대,안데르센동화마을,4.16,0,3.64,1.89,1.47,0.52,42.96,0.09,6.9,0.85,1.18,0.66,1.51,3.83,14.27,15.78,0.28
부산,50대,영도상권,13.47,0,4.92,3.24,1.04,1.42,7.77,0.91,13.47,1.3,1.17,1.17,1.68,4.27,7.38,35.36,1.42
부산,50대,용두산.중앙역,24.48,0,6.06,2.42,1.82,2.91,5.33,0.85,16.73,1.58,1.09,1.58,1.45,1.7,4.24,26.06,1.7
부산,50대,을숙도,9.09,0,11.36,2.27,4.55,2.27,4.55,0,11.36,0,2.27,0,2.27,4.55,6.82,38.64,0
부산,50대,이기대공원,23.73,0,7.34,1.98,1.41,0.85,6.5,0.85,18.64,1.41,1.69,2.82,1.98,1.41,4.8,24.58,0
부산,50대,자갈치시장,17.32,0,8.22,4.6,1.66,1.96,4.01,0.88,18.59,2.05,2.15,2.25,2.74,2.35,5.48,23.68,2.05
부산,50대,태종대,13.6,0,9.12,3.14,2.39,1.94,7.92,0.75,17.49,2.54,1.79,3.44,2.24,2.84,6.43,23.47,0.9
부산,50대,해양박물관,11.9,0,5.36,1.79,0.6,3.57,5.36,1.79,13.69,2.38,1.19,1.79,2.98,2.38,6.55,36.9,1.79
부산,50대,해운대,27.24,0,6.82,4.55,2.85,2.77,3.24,0.57,27.68,1.33,1.73,2.16,1.83,2.18,4.46,9.9,0.7
부산,50대,흰여울문화마을,12.5,0,0,0,0,0,0,0,37.5,0,0,0,0,0,25,25,0
부산,60대 이상,합계(중복제외),16.29,0,7.02,2.62,1.23,1.76,8.33,0.35,15.12,1.4,1.45,1.63,1.6,2.37,7.27,30.71,0.83
부산,60대 이상,감천문화마을,0,0,0,11.76,0,0,11.76,0,17.65,0,0,0,0,11.76,23.53,23.53,0
부산,60대 이상,"경성대,부경대역인근",10.57,0,4.91,1.13,2.26,1.13,4.15,0,10.57,1.51,0.38,1.51,1.51,3.77,9.81,45.66,1.13
부산,60대 이상,광안리,20.13,0,8.19,3.45,1.66,2.69,5.12,0.51,19.74,1.54,2.22,1.96,2.22,1.75,6.31,21.92,0.6
부산,60대 이상,국제시장.깡통시장,10.44,0,4.94,1.41,0.92,0.92,7.55,0.28,10.73,1.06,1.62,1.83,1.27,2.61,6.49,46.79,1.13
부산,60대 이상,"남포동,광복동",14.62,0,5.12,2.88,1.14,1.71,5.33,0.46,14.65,1.56,1.53,1.96,1.24,2.92,6.4,37.2,1.28
부산,60대 이상,다대포,11.72,0,7.72,1.33,0.42,1.33,5.05,0.07,11.16,1.26,0.49,1.05,0.63,2.32,6.6,48,0.84
부산,60대 이상,대연역인근,10.8,0,6.65,1.87,0.42,0.93,7.79,0.1,9.97,0.83,1.66,1.56,1.77,2.7,6.75,45.48,0.73
부산,60대 이상,동부산관광단지,11.26,0,8.76,1.77,0.73,2.29,14.39,0,11.68,1.77,0.83,1.77,1.77,2.29,7.09,33.06,0.52
부산,60대 이상,렛츠런파크,4.07,0,3.22,1.02,0.51,1.69,4.92,0,6.44,1.02,0.85,1.19,1.69,1.86,4.41,66.78,0.34
부산,60대 이상,미포.달맞이,20.09,0,10.89,2.94,1.06,2.07,7.63,0.38,16.83,1.38,1.19,1.69,1.25,1.94,6.38,23.28,1
부산,60대 이상,범어사,8.72,0,2.22,1.03,0.17,1.03,9.06,0.34,4.96,0.85,1.03,0.85,0.68,0.51,5.47,62.56,0.51
부산,60대 이상,보수동,7.95,0,5.54,0.99,0.43,1.14,7.39,0.14,8.38,0.85,1.28,2.13,0.71,3.41,5.11,53.41,1.14
부산,60대 이상,부산박물관,14.75,0,6.56,4.92,1.64,0,4.92,3.28,16.39,1.64,1.64,1.64,0,0,4.92,37.7,0
부산,60대 이상,부산시민공원,9.3,0,3.78,0.29,1.45,0.87,6.1,0,9.01,2.33,1.74,0.29,2.03,2.62,6.1,54.07,0
부산,60대 이상,부산역,21.26,0,7.05,3.14,0.71,2.36,3.21,0.35,19.89,1.16,1.45,2.29,1.23,1.8,6.49,26.66,0.95
부산,60대 이상,"부전,서면역",7.51,0,4.06,1.93,0.71,1.42,10.95,0.1,7.4,0.91,1.42,0.91,1.22,2.33,7.3,51.32,0.51
부산,60대 이상,서면역,10.91,0,4.05,2.14,0.84,1.01,5.34,0.2,9.73,1.13,0.79,1.18,1.32,2.05,6.05,52.24,1.01
부산,60대 이상,센텀시티,15.67,0,6.39,2.13,0.86,1.32,8.01,0.56,12.17,1.72,1.22,1.42,1.37,3.45,6.74,36.11,0.86
부산,60대 이상,송도해수욕장,15.75,0,11.33,3.31,0.83,2.21,5.52,0.28,14.09,0.97,1.66,2.35,2.35,2.76,6.77,28.73,1.1
부산,60대 이상,송정,17.49,0,9.83,1.94,1.22,1.76,9.74,0.45,15.92,1.08,1.67,1.98,1.26,1.4,6.45,27.19,0.63
부산,60대 이상,수영만,26.62,0,8.25,2.54,1.9,2.69,3.81,0.56,21.84,2.13,1.57,1.87,1.64,1.98,5.97,15.87,0.75
부산,60대 이상,안데르센동화마을,5.03,0,4.86,1.49,1.19,0.64,43.28,0,6.27,1.45,0.94,0.72,1.49,2.26,17.31,12.79,0.26
부산,60대 이상,영도상권,10.5,0,3.83,3.28,0.98,1.64,6.46,0.33,9.96,1.97,1.31,1.2,2.74,6.56,8.75,37.64,2.84
부산,60대 이상,용두산.중앙역,14.84,0,4.53,2.2,0.96,1.1,5.22,0.27,14.97,3.02,1.79,1.92,1.1,2.75,5.22,38.6,1.51
부산,60대 이상,을숙도,8.16,0,8.16,2.04,2.04,2.04,0,0,14.29,4.08,0,2.04,0,4.08,4.08,46.94,2.04
부산,60대 이상,이기대공원,16.82,0,10.37,2.76,1.84,1.61,5.53,0.23,17.05,1.15,1.15,1.38,2.53,1.84,7.14,26.96,1.61
부산,60대 이상,자갈치시장,15.43,0,6.96,3.91,0.8,1.67,5.43,0.29,14.2,2.1,2.03,1.74,1.38,2.39,6.74,33.55,1.38
부산,60대 이상,태종대,17.48,0,8.74,4.12,1.37,2,4.12,0.5,14.73,2.25,2.37,2.75,2.25,3.87,7.62,25.47,0.37
부산,60대 이상,해양박물관,9.42,0,5.24,4.71,1.05,1.05,4.19,0,10.47,2.62,2.09,2.62,3.14,7.33,3.66,39.79,2.62
부산,60대 이상,해운대,27.06,0,7.21,3.84,2.19,2.54,3.6,0.52,24.17,1.79,1.77,1.77,2.26,2.02,5.34,13.24,0.68
부산,60대 이상,흰여울문화마을,5.56,0,0,0,0,0,5.56,0,5.56,5.56,5.56,0,5.56,11.11,22.22,27.78,5.56
여수,20대,합계(중복제외),16.39,5.12,3.29,3.59,13.16,3.69,1.26,0.67,16.32,0.78,2.09,3.04,7.36,15.02,2.08,5.71,0.42
여수,20대,개도,25,25,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0
여수,20대,거문도,4.92,4.92,0,14.75,8.2,1.64,9.84,1.64,3.28,1.64,1.64,0,4.92,24.59,1.64,13.11,3.28
여수,20대,게장골목,20.1,3.66,2.35,1.83,14.62,3.39,1.31,1.04,13.58,1.04,2.61,2.61,5.22,18.8,1.31,6.01,0.52
여수,20대,경도,17.11,3.95,2.63,7.89,13.16,6.58,2.63,0,15.79,2.63,1.32,2.63,6.58,13.16,2.63,1.32,0
여수,20대,금오도,15.63,6.25,12.5,0,9.38,0,0,0,12.5,0,0,0,6.25,28.13,0,9.38,0
여수,20대,대두라도,0,11.11,0,0,22.22,0,0,0,11.11,0,0,0,0,55.56,0,0,0
여수,20대,대여자도,0,0,0,0,20,0,0,0,0,0,0,0,0,80,0,0,0
여수,20대,돌산도,12.53,5.07,3.65,4.55,17.81,3.33,1.85,0.74,14.32,0.69,1.59,3.59,6.82,15.17,1.96,5.92,0.42
여수,20대,돌산우두리,16.16,5.93,3.99,3.17,14.38,3.28,1.34,0.6,17.52,0.76,2,3.17,7.41,11.62,2.07,6.43,0.19
여수,20대,백야도,19.67,3.28,0,0,19.67,3.28,1.64,3.28,18.03,1.64,1.64,1.64,3.28,21.31,1.64,0,0
여수,20대,소호항,17.57,3.94,2.48,2.05,14.29,3.07,0.97,0.43,14.82,0.65,1.73,2.1,5.55,23.72,1.73,4.53,0.38
여수,20대,손죽도,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0
여수,20대,여서동사거리,13.3,5.37,2.5,2.93,15.37,2.93,1.27,0.25,11.85,0.59,1.85,2.72,6.02,24.48,2.19,5.68,0.71
여수,20대,여수엑스포,17.86,5.33,3.3,3.91,9.91,4.73,1.37,0.7,18.47,1.01,2.54,4.12,7.52,9.3,2.62,6.76,0.55
여수,20대,여수여객터미널,19.22,4.52,3.01,4.54,10.95,4.06,1.08,0.83,18.78,0.77,2.19,2.9,7.58,12.54,1.7,4.83,0.52
여수,20대,웅천못공원,20.55,4.79,2.05,1.37,19.18,1.37,0.68,0,12.33,1.37,1.37,2.05,4.79,21.23,1.37,5.48,0
여수,20대,월호도,0,10,0,0,30,0,0,10,20,0,0,0,0,20,0,10,0
여수,20대,이순신마리나,13.09,3.53,1.88,1.94,17.57,1.98,0.96,0.36,9.85,0.3,1.12,1.68,6.03,34.01,1.32,3.92,0.46
여수,20대,"종포공원,낭만포차거리",17.88,5.02,3.85,4.03,10.35,4.19,1.2,0.8,17.68,1.06,2.59,3.01,9.07,11.38,2.45,5,0.44
여수,20대,초도,0,0,50,0,0,0,0,0,50,0,0,0,0,0,0,0,0
여수,20대,해상케이블카.오동도,18.24,5.41,3.2,3.72,9.5,4.74,1.48,0.73,18.86,1.23,2.61,3.84,7.79,9.19,2.63,6.31,0.5
여수,20대,해양레일바이크,14.86,5.41,1.35,2.7,9.46,9.46,0,0,16.22,0,2.7,4.05,9.46,17.57,1.35,5.41,0
여수,20대,향일암,19.36,5.26,4.43,4.15,11.07,3.87,1.24,1.11,21.72,0.69,3.04,4.01,4.15,7.88,2.63,5.12,0.28
