방문지역,연령대,관광지,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
여수,20대,화태도,0,14.29,0,0,14.29,0,0,14.29,28.57,0,0,0,0,14.29,0,14.29,0
여수,30대,합계(중복제외),17.26,5.21,3.29,3.4,12.07,3.38,1.57,1.16,17.28,0.77,2.17,3.76,6.09,13.19,2.05,6.99,0.37
여수,30대,개도,0,0,0,0,33.33,0,0,0,0,0,0,0,33.33,33.33,0,0,0
여수,30대,거문도,14.81,7.41,0,0,11.11,7.41,0,0,18.52,7.41,3.7,0,0,22.22,0,7.41,0
여수,30대,게장골목,22.11,4.77,1.01,2.26,12.81,3.27,1.76,0.5,15.08,1.26,1.51,3.27,5.53,19.1,0.75,4.27,0.75
여수,30대,경도,26.26,2.02,1.01,3.03,11.11,8.08,1.01,1.01,21.21,1.01,0,3.03,6.06,14.14,1.01,0,0
여수,30대,금오도,24.24,0,0,0,15.15,6.06,0,0,24.24,0,3.03,3.03,3.03,18.18,0,3.03,0
여수,30대,대두라도,8.33,0,0,0,41.67,16.67,0,0,16.67,0,0,0,0,16.67,0,0,0
여수,30대,대여자도,0,0,0,0,50,0,0,0,25,0,0,0,0,25,0,0,0
여수,30대,돌산도,15.34,5.16,3.42,3.42,15.06,3.07,0.91,1.6,17.92,0.28,1.26,4.53,5.16,15.62,2.02,5.02,0.21
여수,30대,돌산우두리,16.9,6.25,4.07,3.68,11.99,3.49,1.61,1.26,18.69,0.64,2.36,3.4,6.04,10.22,1.93,7.31,0.16
여수,30대,백야도,12.5,6.94,5.56,5.56,16.67,2.78,1.39,2.78,6.94,0,1.39,4.17,6.94,15.28,4.17,6.94,0
여수,30대,소호항,16.95,4.67,1.72,3.02,12.56,3.02,1.51,0.82,14.96,0.82,1.85,3.57,4.26,22.79,2.13,4.74,0.62
여수,30대,손죽도,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,50,0
여수,30대,여서동사거리,16.11,4.45,2,2.95,12.66,2.4,1.05,0.45,15.86,0.85,2.3,3.15,3.95,24.41,1.35,5.4,0.65
여수,30대,여수엑스포,15.62,4.9,4.07,3.03,12.83,3.76,1.99,1.32,15.36,0.75,2.41,4.01,8.17,9.04,2.35,10.09,0.32
여수,30대,여수여객터미널,22.53,5.88,2.63,3.75,9.18,3.56,1.57,1.06,20.72,0.82,2.1,4.41,4.41,10.21,1.78,4.95,0.43
여수,30대,웅천못공원,15.06,4.22,0,3.01,19.28,1.81,0,3.61,15.66,1.2,2.41,3.01,2.41,22.29,1.81,3.61,0.6
여수,30대,월호도,15.38,0,0,0,38.46,23.08,0,0,7.69,0,0,0,0,15.38,0,0,0
여수,30대,이순신마리나,14.72,3.47,1.81,3.42,14.62,1.76,1.05,0.5,12.46,0.95,1,2.31,3.92,31.49,1.46,4.52,0.55
여수,30대,"종포공원,낭만포차거리",20.11,4.9,2.73,4.53,9,3.35,1.71,1.45,20.11,1.02,2.56,4.17,6.24,9.5,2.83,5.46,0.33
여수,30대,초도,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0
여수,30대,해상케이블카.오동도,16.9,4.99,3.98,3.06,12.48,3.72,2.06,1.31,16.34,0.77,2.44,3.93,7.82,8.2,2.29,9.39,0.32
여수,30대,해양레일바이크,8.7,8.7,0,8.7,13.04,0,2.17,2.17,19.57,2.17,2.17,4.35,8.7,10.87,2.17,6.52,0
여수,30대,향일암,17.66,7.62,2.8,2.67,8.64,5.72,0.76,1.02,20.84,1.52,2.03,3.3,6.48,11.82,1.78,5.21,0.13
여수,30대,화태도,25,0,0,0,41.67,25,0,0,0,0,0,0,0,8.33,0,0,0
여수,40대,합계(중복제외),14.75,5.09,3.44,3.78,10.24,3.61,1.59,1.15,20.25,1,2.13,3.38,6.3,13.79,2.08,6.92,0.5
여수,40대,개도,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
여수,40대,거문도,6,6,2,0,10,6,2,0,14,2,2,4,8,24,2,12,0
여수,40대,게장골목,14.54,5.36,1.79,3.57,10.71,3.32,1.02,0.77,19.64,0.51,1.79,3.57,7.4,17.09,2.04,6.12,0.77
여수,40대,경도,16.3,2.17,8.7,3.26,17.39,1.09,0,1.09,18.48,1.09,1.09,3.26,7.61,5.43,4.35,6.52,2.17
여수,40대,금오도,15.38,5.13,5.13,0,12.82,5.13,0,0,28.21,0,2.56,0,2.56,15.38,0,7.69,0
여수,40대,대두라도,13.04,0,0,4.35,8.7,0,4.35,0,17.39,4.35,0,4.35,8.7,30.43,0,4.35,0
여수,40대,대여자도,0,33.33,0,0,0,0,0,0,33.33,0,0,0,0,33.33,0,0,0
여수,40대,돌산도,12.25,4.71,3.49,4.05,13.2,3.58,1.32,0.85,21.87,1.13,2.45,2.83,5.75,15.83,1.41,5,0.28
여수,40대,돌산우두리,16.65,6.45,3.83,3.85,10.12,4.01,1.93,1.21,21.35,0.82,2.47,3.42,5.91,9.43,1.64,6.47,0.44
여수,40대,백야도,20,10,0,0,13.33,0,0,0,13.33,0,3.33,0,6.67,30,0,3.33,0
여수,40대,소호항,15.1,3.91,2.26,3.18,11.25,3.79,1.53,0.61,19.5,0.61,0.98,2.63,4.58,21.82,1.34,5.93,0.98
여수,40대,손죽도,0,0,0,0,0,0,0,0,50,0,0,0,0,25,0,25,0
여수,40대,여서동사거리,11.97,5.06,1.69,3.16,10.44,1.32,1.74,1.16,16.67,1.21,1.21,2.11,4.96,26.64,1.64,7.81,1.21
여수,40대,여수엑스포,16.05,4.84,4.34,3.69,10.44,4.16,1.61,1.48,19.76,0.87,2.29,3.4,8.09,7.85,2.2,8.57,0.35
여수,40대,여수여객터미널,17.26,4.29,3.67,3.86,7.96,4.01,1.56,1.15,20.75,1.15,2.05,3.98,5.91,13.22,2.36,6.03,0.78
여수,40대,웅천못공원,14.63,3.25,1.63,4.07,9.76,3.25,0.81,3.25,20.33,0.81,0,0.81,4.07,23.58,4.88,4.07,0.81
여수,40대,월호도,8.33,0,4.17,8.33,8.33,0,4.17,0,8.33,0,0,4.17,8.33,41.67,0,4.17,0
여수,40대,이순신마리나,12.19,3.53,2.15,2.63,13.87,2.39,0.54,0.66,14.47,0.72,1.43,1.43,5.68,31.38,1.43,4.9,0.6
여수,40대,"종포공원,낭만포차거리",14.06,4.98,3.73,5.44,8.33,4.48,1.26,1.59,23.94,1.8,3.01,5.4,5.82,7.2,2.39,6.28,0.29
여수,40대,초도,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
여수,40대,해상케이블카.오동도,16.75,4.57,4.2,3.66,10.44,4.03,1.61,1.57,21.24,0.93,2.23,3.45,7.69,7.03,2.21,8.13,0.23
여수,40대,해양레일바이크,20,16.67,3.33,6.67,13.33,0,0,0,13.33,0,6.67,3.33,3.33,3.33,6.67,3.33,0
여수,40대,향일암,14.57,7.74,3.92,3.52,6.83,3.92,1.51,0.8,20.8,1.31,2.21,4.02,6.53,11.06,3.42,7.34,0.5
여수,40대,화태도,12.5,0,0,6.25,6.25,0,6.25,0,6.25,0,0,6.25,12.5,37.5,0,6.25,0
여수,50대,합계(중복제외),16.49,4.91,3.47,4.16,8.5,3.07,1.68,0.6,20.78,1.28,2.24,2.95,5.51,14.14,2.7,6.93,0.6
여수,50대,개도,0,50,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0
여수,50대,거문도,4.65,9.3,2.33,4.65,11.63,0,0,2.33,20.93,2.33,2.33,0,2.33,20.93,0,11.63,4.65
여수,50대,게장골목,15.97,6.94,2.08,2.78,7.99,1.39,1.39,0.35,19.79,1.04,2.08,2.08,4.17,19.1,3.13,8.68,1.04
여수,50대,경도,24.05,7.59,3.8,7.59,1.27,6.33,1.27,1.27,25.32,0,2.53,3.8,3.8,5.06,3.8,2.53,0
여수,50대,금오도,12.5,5,5,2.5,7.5,5,2.5,0,20,2.5,2.5,2.5,0,15,0,17.5,0
여수,50대,대두라도,5.26,5.26,0,5.26,5.26,0,0,0,21.05,0,0,15.79,5.26,26.32,5.26,5.26,0
여수,50대,대여자도,14.29,0,0,0,0,0,0,0,14.29,0,0,0,0,57.14,0,14.29,0
여수,50대,돌산도,11.35,5.44,4.04,3.58,11.35,2.49,1.56,0,18.82,1.56,2.8,2.95,5.91,18.66,2.18,6.84,0.47
여수,50대,돌산우두리,18.06,5.69,4.34,3.45,7.7,3.36,1.45,0.75,23.57,0.89,2.43,3.5,4.85,9.89,3.03,6.53,0.51
여수,50대,백야도,25,5,0,0,10,0,0,0,15,0,0,5,0,40,0,0,0
여수,50대,소호항,17.73,3.95,1.94,2.91,9.9,3.24,2.01,0.71,17.48,0.84,1.75,2.52,3.95,22.59,2.65,5.11,0.71
여수,50대,손죽도,22.22,11.11,0,0,11.11,0,0,0,22.22,0,0,0,0,33.33,0,0,0
여수,50대,여서동사거리,12.56,4.55,1.67,3.52,10.26,1.79,1.21,0.52,13.72,0.58,1.15,1.96,5.48,27.61,2.07,9.74,1.61
여수,50대,여수엑스포,19.73,4.29,3.31,4.62,7.63,3.44,1.79,0.61,23.65,1.79,2.55,3.31,5.69,8.18,2.58,6.35,0.46
여수,50대,여수여객터미널,15.06,4.89,3.63,4.86,7.38,3.18,1.65,0.57,20.73,1.23,2.04,3.03,6.27,15.54,2.82,6.45,0.69
여수,50대,웅천못공원,9.35,1.87,3.74,5.61,7.48,2.8,2.8,0,16.82,1.87,1.87,2.8,8.41,27.1,0.93,6.54,0
여수,50대,월호도,5.26,0,0,0,5.26,5.26,0,0,15.79,0,0,15.79,10.53,31.58,0,10.53,0
여수,50대,이순신마리나,13.44,3.98,1.66,3.49,14.85,2.49,1.58,0.25,13.28,0.83,1.24,1.91,6.14,27.14,1.91,5.48,0.33
여수,50대,"종포공원,낭만포차거리",16.34,5.08,5.25,5.3,5.96,3.17,2.24,0.93,24.59,2.13,3.39,3.5,5.25,6.12,3.33,7.05,0.38
여수,50대,초도,0,20,20,0,0,0,0,0,20,0,0,0,0,40,0,0,0
여수,50대,해상케이블카.오동도,20.8,4.37,3.65,4.81,7.2,3.74,1.73,0.66,23.8,1.81,2.5,3.11,5.52,7.14,2.75,6.1,0.3
여수,50대,해양레일바이크,12,4,8,4,12,8,4,0,16,0,4,4,8,12,0,4,0
여수,50대,향일암,17.41,7,3.68,3.86,7.27,2.87,1.53,0.45,23.34,1.26,2.42,3.41,6.1,8.62,2.96,7.27,0.54
여수,50대,화태도,20,0,0,0,0,10,0,0,0,0,0,20,20,20,0,10,0
여수,60대 이상,합계(중복제외),19.21,6.07,3.28,3.58,7.73,3.03,1.13,0.56,18.27,1.57,2.1,2.79,6.57,14.84,2.44,6.39,0.45
여수,60대 이상,개도,28.57,0,0,0,14.29,0,0,0,14.29,0,0,0,0,28.57,14.29,0,0
여수,60대 이상,거문도,12.33,23.29,1.37,4.11,8.22,5.48,0,0,12.33,0,1.37,2.74,5.48,10.96,1.37,9.59,1.37
여수,60대 이상,게장골목,17.15,6.07,4.22,3.17,8.44,2.37,0.26,0,18.73,1.32,1.06,1.85,6.6,20.32,2.11,5.01,1.32
여수,60대 이상,경도,26.98,6.35,4.76,6.35,0,6.35,1.59,0,19.05,0,3.17,1.59,1.59,12.7,3.17,6.35,0
여수,60대 이상,금오도,25,13.33,1.67,1.67,8.33,3.33,0,0,20,5,0,1.67,6.67,6.67,0,6.67,0
여수,60대 이상,대두라도,12,12,0,0,12,4,0,0,12,4,0,0,4,28,0,12,0
여수,60대 이상,대여자도,0,25,0,0,25,0,0,0,0,0,0,0,25,25,0,0,0
여수,60대 이상,돌산도,14.31,7.23,4.52,2.86,9.79,4.37,0.9,0.6,14.46,1.96,3.31,2.56,6.02,16.11,2.71,7.83,0.45
여수,60대 이상,돌산우두리,20.94,6.55,3.94,3.78,9,3.52,1.44,0.85,19.07,1.86,2.02,2.98,5.01,11.4,2.02,5.38,0.21
여수,60대 이상,백야도,29.03,9.68,3.23,3.23,3.23,0,0,0,19.35,0,3.23,3.23,9.68,9.68,3.23,3.23,0
여수,60대 이상,소호항,19.03,4.36,2.54,3.73,8.25,1.98,1.43,0.63,18.4,1.74,1.67,2.62,6.34,20.78,1.74,4.44,0.32
여수,60대 이상,손죽도,12.5,12.5,0,0,6.25,0,0,0,25,0,6.25,0,6.25,31.25,0,0,0
여수,60대 이상,여서동사거리,15.29,6.54,1.93,3.99,8.68,1.45,0.96,0.14,12.19,1.03,1.31,1.58,5.58,25,1.86,11.43,1.03
여수,60대 이상,여수엑스포,24.61,5.66,3.28,3.34,7.14,3.64,0.75,0.63,21.39,1.93,2.41,3.07,5.69,7.44,3.31,5.33,0.36
여수,60대 이상,여수여객터미널,18.54,5.6,3.05,3.98,6.46,2.85,1.11,0.4,18.12,1.22,2.04,3.12,8.1,16.55,2.35,6,0.51
여수,60대 이상,웅천못공원,10.78,4.9,1.96,4.9,8.82,0.98,1.96,0.98,12.75,3.92,3.92,1.96,5.88,30.39,2.94,2.94,0
여수,60대 이상,월호도,8.7,13.04,0,0,13.04,4.35,0,0,8.7,8.7,0,0,0,34.78,0,8.7,0
여수,60대 이상,이순신마리나,14.85,5.08,2.11,2.11,13.22,1.15,0.96,0.57,12.16,0.77,1.44,2.59,5.94,29.41,1.44,5.65,0.57
여수,60대 이상,"종포공원,낭만포차거리",19.54,5.93,4.63,4.78,6.01,3.55,1.66,0.51,24.31,2.03,2.53,3.47,5.43,7.09,3.55,4.41,0.58
여수,60대 이상,초도,7.69,38.46,0,0,0,0,0,0,7.69,0,0,0,0,38.46,0,7.69,0
여수,60대 이상,해상케이블카.오동도,24.87,5.47,3.46,3.55,6.58,3.9,0.84,0.73,21.27,2.03,2.49,2.98,6.12,7.33,2.79,5.22,0.38
여수,60대 이상,해양레일바이크,20,6.67,0,6.67,6.67,0,6.67,0,6.67,0,6.67,0,0,20,6.67,13.33,0
여수,60대 이상,향일암,20.68,6.11,4.99,2.98,5.95,3.78,0.88,0.4,21,1.45,2.25,2.74,5.63,10.54,2.98,7.32,0.32
여수,60대 이상,화태도,11.76,11.76,0,0,17.65,5.88,0,0,5.88,11.76,0,0,0,23.53,0,11.76,0
전주,20대,합계(중복제외),16.37,2.46,2.18,3.32,7.36,4.73,0.71,0.83,16.57,1.1,2.31,4.22,25.87,7.09,1.51,2.9,0.47
전주,20대,객사,15.19,2.02,1.74,2.72,5.65,4.24,0.56,0.8,14.11,0.93,2.07,4.17,34.76,6.66,1.29,2.5,0.57
전주,20대,남부시장,20.28,4.09,2.51,4.74,7.07,5.12,0.84,0.84,21.21,1.67,3.07,4.56,15.07,4,1.67,2.88,0.37
전주,20대,녹색꽃식물원,14.29,0,0,0,3.57,7.14,0,0,19.05,0,2.38,4.76,42.86,2.38,1.19,2.38,0
전주,20대,덕진호수.전북대,11.31,1.53,1.6,2.37,9.66,4.86,0.52,0.83,12.08,0.89,2.37,3.86,34.68,9.46,1.12,2.34,0.53
전주,20대,도로공사수목원,20.37,0,1.85,0,5.56,1.85,1.85,0,14.81,1.85,5.56,1.85,37.04,5.56,1.85,0,0
전주,20대,막걸리골목,26.79,1.28,2.04,4.08,3.06,5.36,1.28,0.77,21.94,0.77,1.28,3.32,19.13,4.08,2.04,2.3,0.51
전주,20대,세병호,17.44,1.16,2.33,5.81,3.49,5.81,0,1.16,13.95,1.16,1.16,3.49,33.72,4.65,0,4.65,0
전주,20대,아중호수,18.18,0,3.9,2.6,6.49,5.19,0,3.9,14.29,0,2.6,6.49,22.08,6.49,0,3.9,3.9
전주,20대,완산공원,23.72,2.62,2.03,4.89,5.72,4.65,1.31,1.07,22.29,0.95,2.15,3.69,13.35,4.41,3.34,2.86,0.95
전주,20대,웨딩거리,20.84,3.29,2.19,3.2,5.76,4.3,0.82,0.73,18.37,0.73,3.11,3.2,23.58,4.94,1.28,2.93,0.73
전주,20대,자연생태관,28.28,5.05,1.82,5.45,4.85,4.44,0.61,1.21,24.65,1.82,3.43,1.82,7.27,3.23,2.63,3.03,0.4
전주,20대,전북도청,13.34,1.52,1.28,2.63,7.36,3.96,0.57,0.76,12.48,1.03,1.89,3.9,36.72,8.76,1,2.27,0.52
전주,20대,전주동물원,18.58,1.64,1.09,1.64,3.83,4.37,1.09,0.55,12.02,0.55,0.55,4.92,42.08,4.92,0.55,1.64,0
전주,20대,전주터미널,13.17,3.15,2.26,2.95,8.07,4.61,0.73,0.5,16.7,1.27,2.43,3.3,27.44,6.99,1.89,3.86,0.66
전주,20대,한옥마을,23.33,3.96,3.61,5.1,5.5,5.31,1.17,0.93,24.25,1.48,2.96,4.58,6.95,4.5,2.23,3.76,0.37
전주,30대,합계(중복제외),21.64,2.96,2.32,3.8,5.45,4.04,0.85,1.36,20.87,1.02,2.29,4.44,20.41,3.31,1.69,3.17,0.38
전주,30대,객사,22.52,3.12,2.24,3.41,4.53,3.53,0.6,1.31,19.71,0.96,2.01,4.18,24.58,2.94,1.29,2.74,0.33
전주,30대,남부시장,24.61,3.1,1.55,5.54,5.99,5.32,0.67,2,24.39,0.44,3.55,5.1,9.53,2.22,1.55,4.21,0.22
전주,30대,녹색꽃식물원,21.43,0,2.86,0,2.86,5.71,1.43,1.43,11.43,1.43,2.86,2.86,37.14,1.43,1.43,4.29,1.43
전주,30대,덕진호수.전북대,17.69,2.33,1.6,3.64,5.57,4.85,0.92,1.21,13.38,0.53,1.45,3.83,35.53,3.59,1.45,2.18,0.24
전주,30대,도로공사수목원,19.35,0,3.23,3.23,3.23,0,0,0,25.81,0,0,12.9,25.81,3.23,0,3.23,0
전주,30대,막걸리골목,23.31,3.38,2.03,4.05,6.08,4.05,0.34,0.34,17.57,0,2.03,4.05,23.65,4.39,1.69,3.04,0
전주,30대,세병호,20.69,0,0,2.3,8.05,1.15,1.15,2.3,18.39,0,2.3,2.3,29.89,6.9,3.45,1.15,0
전주,30대,아중호수,17.24,3.45,3.45,6.9,10.34,0,0,0,24.14,0,3.45,3.45,24.14,0,3.45,0,0
전주,30대,완산공원,26.75,4.46,2.76,5.52,4.46,2.55,0.42,0.85,25.48,0.64,1.7,4.67,11.46,2.34,1.91,4.03,0
전주,30대,웨딩거리,25.06,4.87,1.86,3.48,5.34,2.78,0.46,1.39,23.2,1.39,2.32,4.18,17.17,1.16,2.09,3.02,0.23
전주,30대,자연생태관,33.85,6.21,2.17,3.42,4.97,1.55,1.55,0.62,26.71,1.55,2.48,4.35,4.35,1.24,1.86,3.11,0
전주,30대,전북도청,17.11,1.63,1.26,3.07,6.59,3.42,0.7,1.16,15.51,0.78,1.88,3.66,35.75,3.63,1.44,1.96,0.44
전주,30대,전주동물원,10.14,1.38,0.92,1.38,9.22,11.06,0,7.83,8.29,0.92,3.23,9.68,23.04,6.91,2.3,3.69,0
전주,30대,전주터미널,22.37,4.28,2.34,4.23,5.4,3.78,1,0.56,20.37,1.39,2.06,3.06,20.42,3.06,1.89,3.39,0.39
전주,30대,한옥마을,25.58,3.95,3.39,4.67,4.67,4.62,1.1,1.57,26.98,1.38,2.76,5.28,4.07,2.92,2.06,4.6,0.4
전주,40대,합계(중복제외),17.32,2.84,2.07,3.97,5,3.6,0.95,1.22,23.45,1.24,1.95,3.95,24.51,3.13,1.45,2.82,0.55
전주,40대,객사,17.52,2.2,1.76,3.23,3.9,3.1,0.96,0.88,21.27,0.98,1.55,3.33,32.45,2.58,1.34,2.35,0.59
전주,40대,남부시장,17.37,2.73,1.74,3.97,5.21,3.47,1.24,2.23,28.78,1.74,3.72,5.96,14.39,4.22,0.74,1.99,0.5
전주,40대,녹색꽃식물원,15.84,3.96,0,1.98,2.97,2.97,0,1.98,14.85,0.99,0.99,1.98,46.53,1.98,1.98,0.99,0
전주,40대,덕진호수.전북대,13.87,2.15,1.41,3.41,6.23,3.04,0.59,1.19,17.43,1.04,1.85,2.67,37.17,3.93,1.11,2.45,0.45
전주,40대,도로공사수목원,15.69,5.88,0,3.92,5.88,3.92,0,0,11.76,3.92,1.96,1.96,39.22,3.92,0,1.96,0
전주,40대,막걸리골목,12.33,1.33,2.67,3,6,3.33,0.67,0.67,25.67,0.67,0.67,3.33,34,2.67,1.67,1.33,0
전주,40대,세병호,17.65,1.96,1.96,3.92,1.96,3.92,0,0,19.61,0,1.96,7.84,27.45,9.8,0,1.96,0
전주,40대,아중호수,25,6.25,3.13,6.25,3.13,0,0,0,21.88,6.25,0,0,18.75,0,0,9.38,0
전주,40대,완산공원,16.93,2.6,1.82,2.34,3.13,3.91,1.56,1.56,29.95,1.04,0.78,4.17,23.18,2.34,1.04,2.08,1.56
전주,40대,웨딩거리,21.18,3.47,1.39,3.82,3.13,3.13,2.08,1.04,26.74,1.74,2.08,3.82,19.79,1.74,3.13,1.74,0
전주,40대,자연생태관,25.27,3.85,2.2,3.3,1.65,4.95,0.55,1.1,30.77,2.75,1.1,3.85,8.79,3.3,0.55,4.4,1.65
전주,40대,전북도청,14.64,1.94,1.85,3.18,6.06,3.13,0.57,1.21,18.5,0.85,1.48,3.52,35.51,3.4,1.21,2.38,0.57
전주,40대,전주동물원,14.29,1.3,1.95,2.6,4.55,9.09,0,1.95,16.88,1.3,1.95,7.14,30.52,3.25,2.6,0.65,0
전주,40대,전주터미널,16.48,3.5,1.83,4.83,5.77,3.7,0.74,0.99,23.38,1.09,1.38,3.9,22.64,3.55,1.92,3.31,0.99
전주,40대,한옥마을,21.87,3.97,2.75,5.44,3.92,4.2,1.56,1.66,30.53,1.75,2.99,4.76,6.16,2.71,1.63,3.66,0.44
전주,50대,합계(중복제외),17.46,2.65,2.08,3.69,5.05,3.51,0.95,0.93,20.93,1.17,1.79,3.52,27.23,3.78,1.85,2.91,0.5
전주,50대,객사,17.28,2.27,1.66,3.53,3.82,3.42,0.76,0.54,19.84,1.01,1.58,2.84,33.27,4.03,1.69,2.02,0.43
전주,50대,남부시장,20.41,2.07,1.18,2.07,4.73,5.33,0.89,2.07,21.89,1.48,3.55,2.66,22.49,3.85,2.37,2.66,0.3
전주,50대,녹색꽃식물원,14.02,0.93,0,2.8,1.87,0,0,0,15.89,2.8,1.87,3.74,51.4,1.87,1.87,0.93,0
전주,50대,덕진호수.전북대,15.8,1.85,2.13,1.48,7.3,4.07,0.46,0.65,14.88,0.74,1.2,2.03,37.25,5.18,1.2,3.51,0.28
전주,50대,도로공사수목원,2.38,0,2.38,7.14,7.14,9.52,0,2.38,16.67,4.76,0,2.38,38.1,7.14,0,0,0
전주,50대,막걸리골목,14.55,2.61,0.75,3.73,4.48,2.61,1.12,1.87,16.79,2.24,0.75,3.36,38.81,1.87,1.87,2.24,0.37
전주,50대,세병호,12.5,0,3.13,3.13,3.13,0,3.13,3.13,3.13,3.13,0,3.13,50,3.13,3.13,6.25,0
전주,50대,아중호수,28.57,4.76,0,0,4.76,4.76,0,0,0,0,9.52,9.52,28.57,4.76,0,4.76,0
전주,50대,완산공원,17.35,1.47,1.18,3.24,4.41,3.82,1.18,1.76,19.12,0.59,1.47,3.24,34.71,2.35,1.76,1.76,0.59
전주,50대,웨딩거리,22.36,2.44,1.22,2.44,1.22,4.47,1.22,0.81,20.33,0.41,1.22,4.47,30.49,2.03,0.81,2.85,1.22
전주,50대,자연생태관,23.36,8.76,0.73,2.19,4.38,3.65,0.73,0.73,27.74,0,3.65,5.11,10.22,3.65,2.92,2.19,0
전주,50대,전북도청,14.51,1.6,1.77,2.91,5.95,2.99,1.16,1.01,17.9,0.87,1.38,3.61,35.34,4.11,1.73,2.51,0.66
전주,50대,전주동물원,23.08,0,0,3.85,5.13,1.28,0,2.56,17.95,1.28,2.56,2.56,35.9,3.85,0,0,0
전주,50대,전주터미널,17.87,3.32,2.4,3.82,5.39,3.36,0.6,0.64,22.06,1.52,2.03,2.63,26.72,2.35,1.8,2.95,0.55
전주,50대,한옥마을,22.94,4.06,2.82,5.38,3.01,4.32,1.24,1.13,27.04,1.54,2.52,4.48,9.44,3.12,2.56,3.99,0.41
전주,60대 이상,합계(중복제외),15.41,2.9,1.85,2.64,2.78,2.26,0.91,0.41,14.32,1.22,1.24,2.74,43.91,3.13,1.53,2.45,0.31
전주,60대 이상,객사,15.91,2.67,1.81,2.47,2.55,1.89,0.74,0.29,13.23,1.36,1.19,2.42,46.07,3.04,1.85,2.22,0.29
전주,60대 이상,남부시장,11.22,2.6,2.76,2.6,0.98,2.6,0,0.33,10.57,0.49,1.14,3.58,58.05,1.46,0.49,0.98,0.16
전주,60대 이상,녹색꽃식물원,11.43,3.57,2.86,0.71,1.43,1.43,0,0,10,0.71,0.71,1.43,63.57,1.43,0,0,0.71
전주,60대 이상,덕진호수.전북대,13.54,2.06,1.09,2.06,3.02,2.3,1.33,0.73,10.28,0.24,1.09,2.06,54.41,3.39,0.73,1.45,0.24
전주,60대 이상,도로공사수목원,18,4,0,0,2,2,0,0,12,0,0,4,52,4,0,2,0
전주,60대 이상,막걸리골목,13.31,2.96,0.3,2.37,2.07,1.78,0.3,0.3,11.83,1.18,2.07,1.78,54.44,4.14,0.3,0.89,0
전주,60대 이상,세병호,10.34,1.15,2.3,0,5.75,6.9,0,0,6.9,1.15,0,3.45,55.17,5.75,0,1.15,0
전주,60대 이상,아중호수,19.05,0,4.76,0,0,0,0,0,19.05,0,0,0,42.86,9.52,0,4.76,0
전주,60대 이상,완산공원,9.65,0.97,1.54,3.09,0.97,1.16,0.39,0.58,10.42,1.54,0.58,2.12,61.97,1.54,1.54,1.74,0.19
전주,60대 이상,웨딩거리,16,1,0.5,0.5,2,3,0,1,18,1,0.5,1.5,47,2,2,4,0
전주,60대 이상,자연생태관,23.42,5.41,2.7,1.8,3.6,4.5,0,0.9,18.92,0,0.9,3.6,24.32,2.7,2.7,3.6,0.9
전주,60대 이상,전북도청,13.09,2.4,1.3,2.15,3.2,2.02,1.13,0.41,11.55,1.22,1.16,2.65,49.72,3.95,1.46,2.24,0.33
전주,60대 이상,전주동물원,10.92,1.68,0.84,3.36,2.52,5.88,2.52,3.36,5.88,0,2.52,2.52,49.58,6.72,0,1.68,0
전주,60대 이상,전주터미널,14.31,2.79,2.09,2.18,2.15,1.88,0.58,0.15,14.13,1.18,1.03,2.3,49.42,1.97,0.85,2.58,0.39
전주,60대 이상,한옥마을,19.96,4.44,3.14,4.07,2.87,3.1,0.92,0.46,20.89,1.43,1.48,3.56,25.05,2.36,2.54,3.6,0.14
